h;f_backward;f_central;f_forward;d_backward;d_central;d_forward;f_s;d_s;
0.7804;0.077011204;0.008903718;0.059203738;0.07701122;0.00890372;0.05920378;0.081743832;0.081743935; 
0.7802;0.076989687;0.008899129;0.0591914;0.076989681;0.008899192;0.059191298;0.081720661;0.081720534; 
0.78;0.07696811;0.008894688;0.059178764;0.076968143;0.008894664;0.059178814;0.081697065;0.081697134; 
0.7798;0.076946563;0.008890098;0.059166396;0.076946605;0.008890138;0.059166329;0.081673878;0.081673735; 
0.7796;0.076925075;0.008885598;0.059153879;0.076925069;0.008885613;0.059153842;0.081650491;0.081650336; 
0.7794;0.076903558;0.008881068;0.059141362;0.076903533;0.008881089;0.059141354;0.081627059;0.081626938; 
0.7792;0.076881981;0.008876568;0.059128815;0.076881998;0.008876567;0.059128864;0.081603433;0.081603542; 
0.779;0.076860434;0.008872038;0.059116357;0.076860463;0.008872045;0.059116373;0.081580076;0.081580145; 
0.7788;0.076838917;0.008867508;0.05910396;0.07683893;0.008867525;0.059103881;0.08155683;0.08155675; 
0.7786;0.076817429;0.008863068;0.059091324;0.076817397;0.008863005;0.059091387;0.081533256;0.081533356; 
0.7784;0.076795882;0.008858448;0.059078956;0.076795865;0.008858487;0.059078891;0.081510077;0.081509962; 
0.7782;0.076774365;0.008853948;0.059066439;0.076774334;0.00885397;0.059066394;0.081486675;0.081486569; 
0.778;0.076752788;0.008849448;0.059053892;0.076752804;0.008849454;0.059053896;0.081463273;0.081463177; 
0.7778;0.076731271;0.008844978;0.059041345;0.076731274;0.008844939;0.059041396;0.081439677;0.081439786; 
0.7776;0.076709753;0.008840418;0.059028888;0.076709746;0.008840425;0.059028895;0.081416334;0.081416396; 
0.7774;0.076688206;0.008835858;0.05901646;0.076688218;0.008835913;0.059016392;0.081393103;0.081393006; 
0.7772;0.076666659;0.008831388;0.059003824;0.07666669;0.008831401;0.059003888;0.081369537;0.081369617; 
0.777;0.076645172;0.008826858;0.058991456;0.076645164;0.008826891;0.058991382;0.081346381;0.081346229; 
0.7768;0.076623654;0.008822388;0.058978909;0.076623638;0.008822382;0.058978875;0.081322897;0.081322842; 
0.7766;0.076602078;0.008817858;0.058966392;0.076602114;0.008817874;0.058966366;0.081299613;0.081299456; 
