0.9812;0.254539;0.33954;0.424541;0.0711914
0.981;0.254562;0.339546;0.424531;0.0712154
0.9808;0.254584;0.339552;0.42452;0.0712395
0.9806;0.254606;0.339557;0.424508;0.0712635
0.9804;0.254628;0.339563;0.424497;0.0712875
0.9802;0.254651;0.339569;0.424486;0.0713116
0.98;0.254673;0.339574;0.424476;0.0713356
0.9798;0.254695;0.33958;0.424464;0.0713596
0.9796;0.254718;0.339586;0.424454;0.0713836
0.9794;0.25474;0.339591;0.424443;0.0714077
0.9792;0.254762;0.339597;0.424432;0.0714317
0.979;0.254784;0.339602;0.424421;0.0714557
0.9788;0.254807;0.339608;0.424409;0.0714797
0.9786;0.254829;0.339614;0.424399;0.0715038
0.9784;0.254851;0.339619;0.424387;0.0715278
